evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1641961048,13988541,200,9800
1642010411,13992202,113,9687
1642010422,13992203,561,9126
1642010438,13992204,387,8739
1642010440,13992205,143,8596
1642010444,13992206,466,8130
1642010454,13992207,900,7230
1642010473,13992208,833,6397
1642010489,13992209,444,5953
1642010496,13992210,742,5211
1642010497,13992211,434,4777
1642010506,13992212,183,4594
1642010507,13992213,161,4433
1642010515,13992214,1180,3253
1642010539,13992215,778,2475
1642010541,13992216,734,1741
1642010543,13992217,641,1100
1642097204,13998675,22,1078
1642097226,13998677,12,1066
1642097241,13998678,26,1040
1642097252,13998679,65,975
1642097305,13998680,6,969
1642097306,13998681,1,968
1642097309,13998682,19,949
1642097323,13998683,2,947
1642097326,13998684,6,941
1642097332,13998685,5,936
1642097337,13998686,5,931
1642097344,13998687,14,917
1642097355,13998688,27,890
1642097386,13998689,27,863
1642097391,13998690,8,855
1642097393,13998691,8,847
1642097398,13998692,13,834
1642097407,13998693,7,827
1642097417,13998694,1,826
1642097420,13998695,11,815
1642097443,13998697,34,781
1642097457,13998698,23,758
1642097473,13998699,7,751
1642097582,13998700,22,729
1642097600,13998703,29,700
1642097620,13998704,18,682
1642097669,13998705,1,681
1642097684,13998706,6,675
1642097695,13998708,14,661
1642097700,13998709,1,660
1642097702,13998710,5,655
1642097723,13998711,2,653
1642097730,13998712,7,646
1642097752,13998713,5,641
1642097772,13998714,1,640
1642097775,13998715,12,628
1642097777,13998716,2,626
1642097785,13998717,8,618
1642097809,13998719,3,615
1642097814,13998720,2,613
1642097828,13998721,5,608
1642097861,13998722,9,599
1642097880,13998723,2,597
1642097893,13998724,4,593
1642097932,13998725,1,592
1642097937,13998726,2,590
1642097984,13998728,3,587
1642097991,13998730,3,584
1642098003,13998731,4,580
1642098011,13998732,2,578
1642098022,13998733,2,576
1642098029,13998734,5,571
1642098045,13998735,1,570
1642098050,13998736,1,569
1642098052,13998737,3,566
1642098069,13998739,1,565
1642098070,13998740,1,564
1642098072,13998741,1,563
1642098081,13998742,1,562
1642098100,13998743,1,561
1642098107,13998744,1,560
1642098115,13998746,1,559
1642098118,13998747,2,557
1642098131,13998749,2,555
1642098139,13998750,2,553
1642098147,13998752,2,551
1642098168,13998753,6,545
1642098186,13998754,2,543
1642098201,13998756,3,540
1642098209,13998757,2,538
1642098221,13998759,5,533
1642098243,13998760,2,531
1642098363,13998764,7,524
1642098408,13998766,2,522
1642098417,13998768,3,519
1642098424,13998769,1,518
1642098492,13998770,3,515
1642098532,13998772,1,514
1642098561,13998776,1,513
1642098593,13998777,3,510
1642098645,13998780,1,509
1642098665,13998781,3,506
1642098697,13998782,1,505
1642098824,13998793,3,502
1642098855,13998794,2,500
1642098887,13998796,1,499
1642098894,13998797,2,497
1642098908,13998798,2,495
1642098972,13998801,1,494
1642098996,13998804,1,493
1642099025,13998807,3,490
1642099061,13998809,2,488
1642099069,13998810,1,487
1642099089,13998812,2,485
1642099109,13998813,1,484
1642099133,13998818,2,482
1642099144,13998819,3,479
1642099163,13998820,2,477
1642099174,13998821,2,475
1642099206,13998822,1,474
