evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1650043630,14591282,1,9999
1650121191,14597004,2,9997
1650121203,14597007,2,9995
1650121209,14597008,138,9857
1650121227,14597009,31,9826
1650121235,14597010,38,9788
1650121243,14597011,30,9758
1650121254,14597012,31,9727
1650121270,14597013,12,9715
1650121278,14597014,3,9712
1650121282,14597015,27,9685
1650121302,14597016,16,9669
1650121315,14597017,22,9647
1650121356,14597018,44,9603
1650121367,14597019,17,9586
1650121401,14597020,32,9554
1650121418,14597021,14,9540
1650121430,14597022,12,9528
1650121436,14597023,50,9478
1650121479,14597024,24,9454
1650121482,14597025,30,9424
1650121504,14597027,8,9416
1650121508,14597028,50,9366
1650121534,14597029,20,9346
1650121542,14597031,2,9344
1650121545,14597032,38,9306
1650121570,14597033,10,9296
1650121577,14597034,4,9292
1650121578,14597035,37,9255
1650121607,14597036,36,9219
1650121635,14597037,8,9211
1650121641,14597038,3,9208
1650121652,14597039,16,9192
1650121663,14597040,11,9181
1650121685,14597041,24,9157
1650121730,14597042,17,9140
1650121739,14597044,10,9130
1650121740,14597045,2,9128
1650121745,14597046,18,9110
1650121775,14597047,16,9094
1650121782,14597048,2,9092
1650121784,14597049,14,9078
1650121803,14597050,10,9068
1650121820,14597051,6,9062
1650121824,14597052,20,9042
1650121862,14597053,8,9034
1650121868,14597054,8,9026
1650121874,14597055,2,9024
1650121888,14597056,2,9022
1650121896,14597057,6,9016
1650121903,14597058,4,9012
1650121905,14597060,5,9007
1650121927,14597061,30,8977
1650121957,14597062,9,8968
1650121989,14597064,2,8966
1650121993,14597065,4,8962
1650121996,14597066,6,8956
1650122002,14597067,2,8954
1650122019,14597068,2,8952
1650122096,14597069,12,8940
1650122105,14597070,4,8936
1650122113,14597071,1,8935
1650122120,14597073,22,8913
1650122125,14597074,2,8911
1650122129,14597075,2,8909
1650122130,14597076,10,8899
1650122145,14597077,2,8897
1650122150,14597079,2,8895
1650122159,14597080,2,8893
1650122212,14597082,14,8879
1650122219,14597083,4,8875
1650122243,14597087,6,8869
1650122294,14597088,20,8849
1650122298,14597089,6,8843
1650122315,14597090,6,8837
1650122328,14597092,2,8835
1650122354,14597094,2,8833
1650122365,14597095,4,8829
1650122369,14597096,6,8823
1650122394,14597098,4,8819
1650122437,14597100,12,8807
1650122450,14597101,2,8805
1650122469,14597102,4,8801
1650122508,14597103,12,8789
1650122517,14597104,10,8779
1650122564,14597106,2,8777
1650122571,14597108,2,8775
1650122573,14597109,4,8771
1650122608,14597112,10,8761
1650122644,14597115,4,8757
1650122646,14597116,2,8755
1650122649,14597117,2,8753
1650122662,14597118,4,8749
1650122679,14597119,2,8747
1650122689,14597120,4,8743
1650122707,14597122,2,8741
1650122718,14597123,4,8737
1650122757,14597127,2,8735
1650122771,14597128,4,8731
1650122775,14597129,12,8719
1650122801,14597130,4,8715
1650122818,14597131,4,8711
